_Antwort-ID;Resume-Code;Start;Datum und Zeit;Teilnahmestatus;1. 1. Sind Sie Mitglied einer Partei, eines Verbandes oder einer Bewegung?;2. 2. Wie aktiv sind Sie in der Regel in Ihrer Partei/Bewegung?;3. 3. Haben Sie 2017 bei der Bundestagswahl in Deutschland gewählt?;4. 4. Haben Sie bei der Europawahl 2019 gewählt?;5. 5. Wie zufrieden sind Sie mit dem poltischen System der Bundesrepublik Deutschland?;6. 6. Würden Sie sich eine größere Einbeziehung des Volkes in die Politik wünschen? (z.B durch Volksabstimmungen);7. 7. Welche Partei haben Sie bei der letzten Bundestagswahl 2017 in Deutschland gewählt?;8. 8. Wählen Sie diese Partei regelmäßig?;9. 9. Würden Sie diese Partei bei den nächsten Bundestagswahlen wieder wählen?;10. 10. Nehmen Sie an politischen Veranstaltungen teil?;11. 11. Sind Sie der Meinung, dass die politischen Parteien die Interessen ihrer Wähler gewissenhaft vertreten?;12. 12. Wie aktiv verfolgen Sie die Tagespolitik?;13. 13. Informieren Sie sich zusätzlich vor Wahlen? Falls Ja, wie umfassend?;14. 14. Wie informieren Sie sich über politische Themen?;Zeitungen/Zeitschriften;Medien (Facebook, Twitter, etc.);Fernsehen;Internet;Radio;Treffen mit politischen Akteuren;Textfeld;15. 15. Fühlen Sie sich von der Politik wahrgenommen?;16. 1. Wie sehr sind Sie davon überzeugt, dass die Parteien Ihre Pflichten erfüllen und die Interessen ihrer Wähler vertreten?;17. 2. Wie sehr sind Sie davon überzeugt, dass die Bundeskanzlerin ihre Pflichten gewissenhaft erfüllt?;18. 3. Wie sehr sind Sie davon überzeugt, dass der Bundespräsident seine Pflichten gewissenhaft erfüllt?;19. 4. Wie sehr sind Sie davon überzeugt, dass der Bundestag seine Pflichten gewissenhaft erfüllt?;20. 5. Wie sehr sind Sie davon überzeugt, dass die Judikative (Gerichte) Ihre Pflichten neutral, objektiv und unabhängig von der Politik ausführt?;21. 6. Denken Sie, dass Sie vor Gericht eine faire Behandlung, im Vergleich zu elitären Personen aus Wirtschaft und Politik, erhalten würden;22. 7. Wie sicher fühlen Sie sich in Ihrer Heimatstadt?;23. 8. Wie sehr vertrauen Sie Ihren Freunden?;24. 9. Wie sehr vertrauen Sie Ihrer Familie?;25. 10. Denken Sie die meisten Politiker halten sich an Gesetze und moralische Normen?;26. 11. Wie sehr vertrauen Sie der Rechtschaffenheit von Politikern?;27. 12. Denken Sie, dass Politiker eher 'den Mächtigen' als der eigenen Wählerschaft dienen?;28. 13. Wie sehr vertauen Sie Ihren Mitbürgern?;29. 14. Empfinden Sie Ihre Gesellschaft als offen für andere Meinungen?;30. Welche Staatsangehörigkeiten besitzen Sie?;31. Wie hoch ist Ihr durschnittliches monatliches Nettoeinkommen?;32. Wie gut fühlen Sie sich finanziell abgesichert?;33. Wie alt sind Sie?;34. Welches Geschlecht besitzen Sie?
81688301;9a24d96;19.3.2021 17:06;19.3.2021 17:13;teilgenommen, aber noch nicht beendet;Nein;keine Angabe;Ja;Ja;5;keine Angabe;SPD;Nein;Keine Angabe;Nein;Nein;Bis zu fünf Stunden in der Woche;Ich informiere mich kurz vor den Wahlen über die jeweiligen Kandidaten und Parteien;;;;1;1;;;;Nein;4;7;8;6;5;Nein;7;6;10 - sehr stark;Nein;2;Ja;7;Nein;deutsch;zwischen 1501 und 2500€;Ich fühle mich finanziell nicht abgesichert;41 bis 50;Weiblich
81693712;6a0daa4;19.3.2021 19:52;19.3.2021 19:57;teilgenommen und beendet;Nein;keine Angabe;Ja;Ja;7;keine Angabe;SPD;Nein;Keine Angabe;Nein;Teilweise;Mehr als acht Stunden in der Woche;Ich informiere mich kurz vor den Wahlen über die jeweiligen Kandidaten und Parteien;;;;1;1;;;;Nein;5;7;8;keine Angabe;4;Nein;6;7;9;Nein;4;Ja;6;Ja;Deutsch;zwischen 1501 und 2500€;Ich fühle mich finanziell nicht abgesichert;41 bis 50;Weiblich
81698105;2b5c92b;19.3.2021 22:39;19.3.2021 22:46;teilgenommen und beendet;Nein;keine Angabe;Ja;Ja;7;Teilweise;FDP;Nein;Nein;Nein;Teilweise;Mehr als acht Stunden in der Woche;Ich informiere mich während der gesamten Legislaturperiode;;1;;1;1;;;;Ja;5;7;8;6;7;Nein;8;9;10 - sehr stark;Ja;7;Nein;6;Ja;Deutsch;zwischen 1501 und 2500€;Finanziell fühle ich mich ausreichend abgesichert;51 oder älter;Männlich
81707696;8804d46;20.3.2021 13:58;20.3.2021 14:02;teilgenommen und beendet;Nein;keine Angabe;Ja;Ja;6;Ja;Bündnis 90/Die Grünen;keine Angabe;Ja;Nein;Keine Angabe;Mehr als acht Stunden in der Woche;Sobald die Spitzenkandidaten der jeweiligen Parteien feststehen, beginne ich mich zu informieren;;;1;1;1;1;;;keine Angabe;6;6;6;6;7;Ja;8;10 - sehr stark;10 - sehr stark;keine Angabe;7;Nein;7;Nein;Deutsch;zwischen 451€ und 800€;Finanziell könnte ich besser abgesichert sein;21 bis 30;Weiblich
81708029;4fa5018;20.3.2021 14:14;20.3.2021 14:18;teilgenommen und beendet;Nein;keine Angabe;Ich war noch nicht wahlberechtigt;Ich war noch nicht wahlberechtigt;6;Teilweise;Ich habe bei der letzten Bundestagswahl nicht gewählt;keine Angabe;Keine Angabe;Ja;Teilweise;Weniger als eine Stunde in der Woche;Ich informiere mich kurz vor den Wahlen über die jeweiligen Kandidaten und Parteien;;;1;;1;1;;;keine Angabe;5;6;5;5;5;Nein;8;9;10 - sehr stark;Nein;3;Ja;2;Nein;Deutsch;Unter 450€;Finanziell könnte ich besser abgesichert sein;18 bis 20;Weiblich
81708124;ca5451b;20.3.2021 14:19;20.3.2021 14:20;teilgenommen, aber noch nicht beendet;Nein;keine Angabe;Ich war noch nicht wahlberechtigt;Ich war noch nicht wahlberechtigt;6;Ja;Keine Angabe;keine Angabe;Nein;Nein;Ja;Mehr als acht Stunden in der Woche;Sobald die Spitzenkandidaten der jeweiligen Parteien feststehen, beginne ich mich zu informieren;;;;;1;;;;keine Angabe;;;;;;;;;;;;;;;;;;;
81708127;666f083;20.3.2021 14:19;20.3.2021 14:22;teilgenommen und beendet;Ja;weniger als 5 Stunden in der Woche;Ich war noch nicht wahlberechtigt;Ich war noch nicht wahlberechtigt;5;Teilweise;Ich habe bei der letzten Bundestagswahl nicht gewählt;keine Angabe;Keine Angabe;Ja;Teilweise;Bis zu drei Stunden in der Woche;Ich informiere mich kurz vor den Wahlen über die jeweiligen Kandidaten und Parteien;;1;1;1;1;1;;;Nein;6;5;6;keine Angabe;6;Nein;4;8;9;Nein;4;Ja;4;Nein;deutsch;zwischen 451€ und 800€;Finanziell könnte ich besser abgesichert sein;18 bis 20;Divers
81708185;7f97975;20.3.2021 14:22;20.3.2021 14:25;teilgenommen und beendet;Nein;keine Angabe;Ich war noch nicht wahlberechtigt;Ich war noch nicht wahlberechtigt;4;Teilweise;Ich habe bei der letzten Bundestagswahl nicht gewählt;keine Angabe;Keine Angabe;Nein;Nein;Bis zu drei Stunden in der Woche;Ich informiere mich kurz vor den Wahlen über die jeweiligen Kandidaten und Parteien;;;1;;;;;;Nein;3;2;2;2;4;Nein;7;10 - sehr stark;10 - sehr stark;Nein;1 - sehr wenig;Ja;4;Nein;deutsch;zwischen 801 und 1500€;Finanziell fühle ich mich ausreichend abgesichert;18 bis 20;Weiblich
81709151;ee950f6;20.3.2021 15:07;20.3.2021 15:09;teilgenommen und beendet;Nein;keine Angabe;Ich war noch nicht wahlberechtigt;Nein;8;Teilweise;Ich habe bei der letzten Bundestagswahl nicht gewählt;keine Angabe;Keine Angabe;Nein;Keine Angabe;Weniger als eine Stunde in der Woche;Ich informiere mich bereits ein Jahr im Voraus;;;1;1;1;;;;Ja;7;8;5;8;10 - sehr stark;Nein;7;10 - sehr stark;10 - sehr stark;Nein;7;Nein;7;Nein;Deutsch;zwischen 801 und 1500€;Finanziell fühle ich mich ausreichend abgesichert;18 bis 20;Männlich
81709340;3f223d4;20.3.2021 15:15;20.3.2021 15:20;teilgenommen und beendet;Nein;keine Angabe;Ich war noch nicht wahlberechtigt;Nein;7;Teilweise;Ich habe bei der letzten Bundestagswahl nicht gewählt;keine Angabe;Keine Angabe;Nein;Teilweise;Weniger als eine Stunde in der Woche;Ich informiere mich kurz vor den Wahlen über die jeweiligen Kandidaten und Parteien;;1;1;;1;;;;keine Angabe;5;6;4;7;3;Nein;9;9;9;Nein;6;Ja;6;Nein;deutsch;Unter 450€;Ich fühle mich finanziell nicht abgesichert;21 bis 30;Männlich
81709549;be2b170;20.3.2021 15:27;20.3.2021 15:35;teilgenommen und beendet;Nein;keine Angabe;Ich war noch nicht wahlberechtigt;Ja;8;Teilweise;Ich habe bei der letzten Bundestagswahl nicht gewählt;keine Angabe;Keine Angabe;Ja;Teilweise;Bis zu drei Stunden in der Woche;Ich informiere mich kurz vor den Wahlen über die jeweiligen Kandidaten und Parteien;;1;1;1;1;;;;Ja;7;9;keine Angabe;7;keine Angabe;Nein;7;9;10 - sehr stark;Ja;8;Ja;5;Ja;Deutsch;Unter 450€;keine Angabe;18 bis 20;Männlich
81709618;b2b72f9;20.3.2021 15:32;20.3.2021 15:34;teilgenommen, aber noch nicht beendet;Nein;weniger als 5 Stunden in der Woche;Ich war noch nicht wahlberechtigt;Ich war noch nicht wahlberechtigt;6;Teilweise;Ich habe bei der letzten Bundestagswahl nicht gewählt;Nein;Ja;Nein;Teilweise;Weniger als eine Stunde in der Woche;Ich informiere mich kurz vor den Wahlen über die jeweiligen Kandidaten und Parteien;;;;;1;;;;Nein;;;;;;;;;;;;;;;;;;;
81709951;4819dac;20.3.2021 15:54;20.3.2021 15:58;teilgenommen und beendet;Nein;keine Angabe;Ja;Ja;7;Teilweise;Die Linke;Ja;Ja;Keine Angabe;Teilweise;Bis zu fünf Stunden in der Woche;Ich informiere mich während der gesamten Legislaturperiode;;1;1;;1;;;;Ja;4;8;7;6;8;Ja;10 - sehr sicher;10 - sehr stark;10 - sehr stark;Ja;6;Ja;6;Nein;Deutsch;Unter 450€;Finanziell fühle ich mich ausreichend abgesichert;21 bis 30;Männlich
81710774;7122cec;20.3.2021 16:28;20.3.2021 16:35;teilgenommen und beendet;Nein;keine Angabe;Ja;Ja;6;Teilweise;Bündnis 90/Die Grünen;Ja;Ja;Ja;Teilweise;Bis zu drei Stunden in der Woche;Ich informiere mich kurz vor den Wahlen über die jeweiligen Kandidaten und Parteien;;1;;;1;;;;Ja;4;9;keine Angabe;2;4;Nein;10 - sehr sicher;10 - sehr stark;6;Ja;6;Weiß nicht;7;Ja;Deutsch;zwischen 801 und 1500€;Finanziell fühle ich mich sehr gut abgesichert;21 bis 30;Männlich
